Count,P1,P2,P3
1479044,1,1,1
1660476,1,1,2
1685758,1,1,3
614812,1,2,1
1259224,1,2,2
1494848,1,2,3
1574029,1,3,1
1581604,1,3,2
1627999,1,3,3
1654408,2,1,1
1642338,2,1,2
1653332,2,1,3
1579434,2,2,1
1504155,2,2,2
1415339,2,2,3
1575736,2,3,1
1569843,2,3,2
1571862,2,3,3
1640148,3,1,1
1613656,3,1,2
1630946,3,1,3
1584882,3,2,1
1591012,3,2,2
1420344,3,2,3
1556351,3,3,1
1591737,3,3,2
1613290,3,3,3
