panel_method,variant,display_label,shots,exact,mean,std,rmse,repeats
SG,H,H,12,0.0,-0.6074686483333332,2.330297103768961,2.408174152868088,20
SG,H,H,45,0.0,-0.3698396814554889,1.1652982648899333,1.2225798281235407,20
SG,H,H,160,0.0,-0.0748048775375627,0.7255584508926671,0.7294044388164749,20
SG,H,H,572,0.0,0.0074341238193721,0.3531289784771279,0.3532072219494692,20
SG,H,H,2038,0.0,0.0364695563630336,0.1724641272615676,0.1762779161818368,20
SG,H,H,7259,0.0,-0.0108275693180562,0.0951533134984591,0.0957673708894285,20
SG,sym_H,compact,12,0.0,0.0129124449999999,0.3729282497877916,0.3731517261458983,20
SG,sym_H,compact,45,0.0,0.0429448766783216,0.2087084255828358,0.2130808985859182,20
SG,sym_H,compact,160,0.0,0.02576943471187,0.0786419908760034,0.0827564287189264,20
SG,sym_H,compact,572,0.0,0.0181692858422957,0.0421838410378905,0.0459303754908346,20
SG,sym_H,compact,2038,0.0,0.003287174121031,0.0328780441176277,0.0330419626944685,20
SG,sym_H,compact,7259,0.0,0.0012442998913059,0.0148230077735155,0.0148751417362392,20
SG,sym_ave,sym_ave,12,0.0,0.3196477114722222,0.5179636480460638,0.6086550748548932,20
SG,sym_ave,sym_ave,45,0.0,0.0224437968684093,0.3254335225762363,0.3262065321759332,20
SG,sym_ave,sym_ave,160,0.0,0.011091393613888,0.2147959262212695,0.2150820981243005,20
SG,sym_ave,sym_ave,572,0.0,-0.0412888101829708,0.16321061507516,0.1683522221995821,20
SG,sym_ave,sym_ave,2038,0.0,-0.0123900734107383,0.0826739577862786,0.0835972321023302,20
SG,sym_ave,sym_ave,7259,0.0,0.0019711868484947,0.0420426606527699,0.0420888452247818,20
Derand,H,H,12,0.0,-0.0017356883333332,2.0861074228963483,2.086108144962105,20
Derand,H,H,45,0.0,-0.4353203769316223,0.984985051937252,1.0768933944972086,20
Derand,H,H,160,0.0,-0.2046181749776701,0.5937342059004707,0.628003905073412,20
Derand,H,H,572,0.0,-0.0014972659038389,0.3243210064700909,0.324324462603362,20
Derand,H,H,2038,0.0,0.0040514351857033,0.1758649845593172,0.1759116452117733,20
Derand,H,H,7259,0.0,-0.0013029963267172,0.1362024418572819,0.1362086743468039,20
Derand,sym_H,compact,12,0.0,0.059977925,0.3160367474168659,0.3216777536683839,20
Derand,sym_H,compact,45,0.0,-0.0233717761067193,0.1886172229691219,0.1900597188227059,20
Derand,sym_H,compact,160,0.0,0.0144405449999999,0.1207809722835479,0.1216411632863488,20
Derand,sym_H,compact,572,0.0,0.0082575741207618,0.0556837039195668,0.0562926497205617,20
Derand,sym_H,compact,2038,0.0,-0.0035261798067168,0.0284149954553964,0.0286329514852992,20
Derand,sym_H,compact,7259,0.0,-0.002444823401318,0.015079759220571,0.01527665865345,20
Derand,sym_ave,sym_ave,12,0.0,0.0071069213888889,1.1295794579678282,1.1296018148863431,20
Derand,sym_ave,sym_ave,45,0.0,-0.1106362419295823,0.5457958488805366,0.5568962979617718,20
Derand,sym_ave,sym_ave,160,0.0,-0.1398734328353568,0.3048976384708631,0.3354506627780845,20
Derand,sym_ave,sym_ave,572,0.0,-0.0152907588151852,0.1289139886104134,0.1298176558276645,20
Derand,sym_ave,sym_ave,2038,0.0,0.0040463361599592,0.0798826474846204,0.0799850623896207,20
Derand,sym_ave,sym_ave,7259,0.0,0.0033191618221768,0.0467629645666391,0.0468806110269751,20
AP,H,H,12,0.0,-0.4934732660714288,3.269189696110425,3.3062239992900926,20
AP,H,H,45,0.0,0.3309107820363596,1.374703199221509,1.4139698835610914,20
AP,H,H,160,0.0,-0.1015770433411392,0.692311728486355,0.6997238206133133,20
AP,H,H,572,0.0,-0.0065017199340853,0.4244809488612835,0.4245307389439273,20
AP,H,H,2038,0.0,-0.0746634715056333,0.2603913770570755,0.2708842985906577,20
AP,H,H,7259,0.0,-0.0454332150420868,0.0945558002091727,0.1049046061060118,20
AP,sym_H,compact,12,0.0,-0.044478625,0.3725722197215539,0.3752178127303347,20
AP,sym_H,compact,45,0.0,0.0182847816231647,0.2107126185256077,0.2115044700353283,20
AP,sym_H,compact,160,0.0,0.0003836639369982,0.0742412480718944,0.0742422394145618,20
AP,sym_H,compact,572,0.0,-0.000709924244304,0.0599149225099756,0.0599191282630934,20
AP,sym_H,compact,2038,0.0,0.0016144239441093,0.0262613176956807,0.0263108945455069,20
AP,sym_H,compact,7259,0.0,-0.0041782727106348,0.016171227023655,0.0167022916480052,20
AP,sym_ave,sym_ave,12,0.0,-0.0449200603573319,1.012427613560868,1.013423645137146,20
AP,sym_ave,sym_ave,45,0.0,-0.0521983245634979,0.4758442566614078,0.4786986752487248,20
AP,sym_ave,sym_ave,160,0.0,-0.0390165038817034,0.2507137975621342,0.2537315429015041,20
AP,sym_ave,sym_ave,572,0.0,-0.0507317217199843,0.1252262120583311,0.1351122191926106,20
AP,sym_ave,sym_ave,2038,0.0,-0.0075375001377134,0.0728776933292157,0.0732664458897335,20
AP,sym_ave,sym_ave,7259,0.0,-0.0036613257311324,0.0413197419405328,0.0414816390725062,20
OGM,H,H,12,0.0,0.2905838130555555,2.843363173928712,2.8581730338214064,20
OGM,H,H,45,0.0,0.1411420811025563,1.2760643997680563,1.283846345717964,20
OGM,H,H,160,0.0,-0.0039656176977156,0.731347225132464,0.7313579765290588,20
OGM,H,H,572,0.0,0.107022863376542,0.41588855440739,0.429438217875846,20
OGM,H,H,2038,0.0,-0.0345348559601458,0.1854533302497878,0.1886414428934556,20
OGM,H,H,7259,0.0,-0.0104058563493497,0.0843285113170673,0.0849681097077959,20
OGM,sym_H,compact,12,0.0,0.0195596799999999,0.2871789842366614,0.2878443156793321,20
OGM,sym_H,compact,45,0.0,0.0141312866666666,0.1525758347753358,0.1532288439565021,20
OGM,sym_H,compact,160,0.0,-0.0258477004327309,0.10390992092078,0.1070764926742698,20
OGM,sym_H,compact,572,0.0,-0.0072872729366288,0.0503661103257547,0.0508905631350157,20
OGM,sym_H,compact,2038,0.0,0.0004746321087657,0.0223451069379233,0.0223501471965153,20
OGM,sym_H,compact,7259,0.0,0.0005183484843086,0.0110277623460001,0.011039937839999,20
OGM,sym_ave,sym_ave,12,0.0,-0.0514145631944444,1.3282301282582067,1.3292248609325992,20
OGM,sym_ave,sym_ave,45,0.0,0.0816101115520103,0.671624181447077,0.6765642995399535,20
OGM,sym_ave,sym_ave,160,0.0,-0.0432913586289057,0.332053153160758,0.3348633127948452,20
OGM,sym_ave,sym_ave,572,0.0,0.0064860052541176,0.1667132771896796,0.1668393989904046,20
OGM,sym_ave,sym_ave,2038,0.0,-0.0226950302411928,0.0763740600186719,0.0796747227254941,20
OGM,sym_ave,sym_ave,7259,0.0,-0.0086888234867668,0.050555126867502,0.0512963595801244,20
