case_name,state_label,hamiltonian_file,output_file,schedule_file,shots,exact_noisy,deviation_noisy,num_groups
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_2038.txt,2038,0.06492299806139307,0.00956026933372414,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_7259.txt,7259,0.06492299806139307,0.005436259022822472,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_25848.txt,25848,0.06492299806139307,0.003276214099234271,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_12.txt,12,0.06492299806139307,0.06275403329067862,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_45.txt,45,0.06492299806139307,0.03273560944598977,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_160.txt,160,0.06492299806139307,0.01904479838899641,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_572.txt,572,0.06492299806139307,0.007794407482268463,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_2038.txt,2038,0.06492299806139307,0.005278103655166643,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_7259.txt,7259,0.06492299806139307,0.0031299189906430756,20
rand_H_3_GHZ,GHZ,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_GHZ/AdaptivePaulisrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/AdaptivePaulisrand_H_3_25848.txt,25848,0.06492299806139307,0.0021895730631179547,20
