num_qubits,method,shots,exact,mean,std,deviation,repeats,num_terms,hamiltonian_file,runtime_seconds
12,Derandomization,2038,0.0,0.007511639000566952,0.3196743889381093,0.31976263018593715,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,28.784888982772827
12,Derandomization,7259,0.0,0.008598674177357466,0.20571923411076573,0.20589885983348327,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,79.63700985908508
12,AdaptivePaulis,12,0.0,0.6646772265476188,5.260684951227971,5.302509026071287,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,0.585097074508667
12,AdaptivePaulis,45,0.0,-0.006925170003551656,1.6186308235406979,1.6186456378391214,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,2.1452999114990234
12,AdaptivePaulis,160,0.0,0.10978869528277971,1.2989076047141184,1.3035392296344837,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,7.185003042221069
12,AdaptivePaulis,572,0.0,-0.043294670252696545,0.5373496223094671,0.5390909432261097,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,23.783699989318848
12,AdaptivePaulis,2038,0.0,-0.14664671205501184,0.32683532087896455,0.3582270022354558,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,78.03782606124878
12,AdaptivePaulis,7259,0.0,-0.01675083706825225,0.16845899424241864,0.16928976130780732,20,132,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_12.txt,243.38113522529602
14,ShadowGrouping,12,0.0,0.47901879666666664,4.138201046389082,4.165833278936602,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,0.29937005043029785
14,ShadowGrouping,45,0.0,0.9277193176716342,1.545725274570812,1.8027561556761176,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,1.110382080078125
14,ShadowGrouping,160,0.0,-0.20095475061865886,1.0493391540616963,1.0684079146295782,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,3.9307141304016113
14,ShadowGrouping,572,0.0,0.026445601411964254,0.4285074564688795,0.4293227341796252,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,13.089354038238525
14,ShadowGrouping,2038,0.0,-0.09748643107160855,0.292081251713104,0.30792054469517477,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,35.275269746780396
14,ShadowGrouping,7259,0.0,-0.002628779914598316,0.1723820336608283,0.17240207659098059,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,79.4232120513916
14,Derandomization,12,0.0,0.04481611333333322,4.194268694055563,4.1945081191897655,20,182,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/Hamiltonian/H_14.txt,0.47884488105773926
