num_qubits,method,shots,exact,mean,std,rmse,repeats,source_file
8,SG,12,0.0,-0.24215166666666676,2.402934962787527,2.4151053527861137,20,comparison_summary.csv
8,SG,45,0.0,0.24247425462842703,1.3446114702031393,1.3662992973574493,20,comparison_summary.csv
8,SG,160,0.0,0.14306891236614389,0.6672754814755613,0.682440680106391,20,comparison_summary.csv
8,SG,572,0.0,-0.0629040188695296,0.2832980402467091,0.2901976829638103,20,comparison_summary.csv
8,SG,2038,0.0,0.056829167674993505,0.20585825321004836,0.21355836371663112,20,comparison_summary.csv
8,SG,7259,0.0,0.0446098360221275,0.09106720608070763,0.10140647658442324,20,comparison_summary.csv
8,Derand,12,0.0,0.4177184466666666,2.748722704293075,2.7802814975793098,20,comparison_summary.csv
8,Derand,45,0.0,0.31846069413797806,0.9947479912714391,1.0444811055492607,20,comparison_summary.csv
8,Derand,160,0.0,-0.029067199857634875,0.555022366774358,0.5557829879794575,20,comparison_summary.csv
8,Derand,572,0.0,-0.09525619258852414,0.3080697966384265,0.322460450020314,20,comparison_summary.csv
8,Derand,2038,0.0,-0.041956867465993156,0.14758496631987542,0.15343305058297468,20,comparison_summary.csv
8,Derand,7259,0.0,-0.0038351338681252107,0.128772909924503,0.1288300065287998,20,comparison_summary.csv
8,OGM,12,0.0,0.2905838130555557,2.8433631739287106,2.8581730338214055,20,ogm_summary.csv
8,OGM,45,0.0,0.14114208110255633,1.2760643997680563,1.283846345717964,20,ogm_summary.csv
8,OGM,160,0.0,-0.003965617697715718,0.731347225132464,0.7313579765290589,20,ogm_summary.csv
8,OGM,572,0.0,0.10702286337654199,0.41588855440739,0.4294382178758459,20,ogm_summary.csv
8,OGM,2038,0.0,-0.03453485596014579,0.18545333024978783,0.18864144289345564,20,ogm_summary.csv
8,OGM,7259,0.0,-0.010405856349349735,0.08432851131706733,0.08496810970779599,20,ogm_summary.csv
8,AP,12,0.0,-1.1302953670238094,2.6556530961980207,2.886184502775528,20,comparison_summary.csv
8,AP,45,0.0,0.310513673509201,1.0464920261603947,1.0915879727504636,20,comparison_summary.csv
8,AP,160,0.0,-0.1257760488802107,0.7749472642275507,0.7850878147097192,20,comparison_summary.csv
8,AP,572,0.0,0.015971675522415473,0.4094393620599525,0.4097507603690983,20,comparison_summary.csv
8,AP,2038,0.0,-0.01485346166159065,0.1491467713336364,0.1498845713293412,20,comparison_summary.csv
8,AP,7259,0.0,-0.018816339505322254,0.12290989761897576,0.12434185765496128,20,comparison_summary.csv
8,Compact,12,0.0,0.019559679999999982,0.2871789842366614,0.2878443156793321,20,ogm_summary.csv
8,Compact,45,0.0,0.014131286666666677,0.15257583477533582,0.15322884395650216,20,ogm_summary.csv
8,Compact,160,0.0,-0.0258477004327309,0.10390992092078002,0.1070764926742698,20,ogm_summary.csv
8,Compact,572,0.0,-0.007287272936628888,0.05036611032575475,0.05089056313501574,20,ogm_summary.csv
8,Compact,2038,0.0,0.00047463210876579255,0.022345106937923336,0.022350147196515308,20,ogm_summary.csv
8,Compact,7259,0.0,0.0005183484843086709,0.011027762346000154,0.011039937839999096,20,ogm_summary.csv
12,SG,12,0.0,-2.2635896400000006,3.2367948794901626,3.9497695059596922,20,comparison_summary.csv
12,SG,45,0.0,-0.2428918496090021,1.4929619436596027,1.5125910933964735,20,comparison_summary.csv
12,SG,160,0.0,0.010082060120032755,1.072365102922277,1.0724124961514432,20,comparison_summary.csv
12,SG,572,0.0,-0.16799138387143797,0.4778953281356374,0.5065619899961991,20,comparison_summary.csv
12,SG,2038,0.0,0.008985938899555788,0.2260816775133794,0.22626018652244198,20,comparison_summary.csv
12,SG,7259,0.0,0.025925237573195925,0.15289991864172886,0.15508224612725324,20,comparison_summary.csv
12,Derand,12,0.0,-0.3928223499999999,2.7238794824603145,2.7520590171047923,20,comparison_summary.csv
12,Derand,45,0.0,-0.02855054857143679,1.5794167325418194,1.5796747604671055,20,comparison_summary.csv
12,Derand,160,0.0,0.11277036359040873,0.7795867126631737,0.787700829925478,20,comparison_summary.csv
12,Derand,572,0.0,0.0029825478201930015,0.42828095597786925,0.4282913410808317,20,comparison_summary.csv
12,Derand,2038,0.0,0.007511639000566952,0.3196743889381093,0.31976263018593715,20,comparison_summary.csv
12,Derand,7259,0.0,0.008598674177357466,0.20571923411076573,0.20589885983348327,20,comparison_summary.csv
12,OGM,12,0.0,1.4462295231313131,4.115626518838491,4.362334406730331,20,ogm_summary.csv
12,OGM,45,0.0,0.5569878676617188,2.5510633728451166,2.6111606264253933,20,ogm_summary.csv
12,OGM,160,0.0,0.31492029567201835,1.050076607117594,1.0962826612884786,20,ogm_summary.csv
12,OGM,572,0.0,0.0614225188957687,0.6315100805809128,0.6344901163160953,20,ogm_summary.csv
12,OGM,2038,0.0,0.0033502081187278877,0.3188747730450402,0.3188923717792018,20,ogm_summary.csv
12,OGM,7259,0.0,0.01343916338456429,0.16412723614041455,0.16467653371251295,20,ogm_summary.csv
12,AP,12,0.0,0.6646772265476188,5.260684951227971,5.302509026071287,20,comparison_summary.csv
12,AP,45,0.0,-0.006925170003551656,1.6186308235406979,1.6186456378391214,20,comparison_summary.csv
12,AP,160,0.0,0.10978869528277971,1.2989076047141184,1.3035392296344837,20,comparison_summary.csv
12,AP,572,0.0,-0.043294670252696545,0.5373496223094671,0.5390909432261097,20,comparison_summary.csv
12,AP,2038,0.0,-0.14664671205501184,0.32683532087896455,0.3582270022354558,20,comparison_summary.csv
12,AP,7259,0.0,-0.01675083706825225,0.16845899424241864,0.16928976130780732,20,comparison_summary.csv
12,Compact,12,0.0,-0.10358106666666667,0.367067131655257,0.381401778330178,20,ogm_summary.csv
12,Compact,45,0.0,0.003505657777777769,0.33846652193585924,0.3384846763264364,20,ogm_summary.csv
12,Compact,160,0.0,0.03558449891979366,0.09201783499059492,0.09865869713172352,20,ogm_summary.csv
12,Compact,572,0.0,-0.0012665036543393683,0.06538061184070035,0.06539287756453895,20,ogm_summary.csv
12,Compact,2038,0.0,-0.0006978095553794056,0.02889495208932519,0.028903376868801626,20,ogm_summary.csv
12,Compact,7259,0.0,-0.005478255348693552,0.017811372148303726,0.018634813105337527,20,ogm_summary.csv
14,SG,12,0.0,0.47901879666666664,4.138201046389082,4.165833278936602,20,comparison_summary.csv
14,SG,45,0.0,0.9277193176716342,1.545725274570812,1.8027561556761176,20,comparison_summary.csv
14,SG,160,0.0,-0.20095475061865886,1.0493391540616963,1.0684079146295782,20,comparison_summary.csv
14,SG,572,0.0,0.026445601411964254,0.4285074564688795,0.4293227341796252,20,comparison_summary.csv
14,SG,2038,0.0,-0.09748643107160855,0.292081251713104,0.30792054469517477,20,comparison_summary.csv
14,SG,7259,0.0,-0.002628779914598316,0.1723820336608283,0.17240207659098059,20,comparison_summary.csv
14,Derand,12,0.0,0.04481611333333322,4.194268694055563,4.1945081191897655,20,comparison_summary.csv
14,Derand,45,0.0,-1.0265040373039986,1.8975195348676637,2.1573805699982107,20,comparison_summary.csv
14,Derand,160,0.0,0.04329928617935081,1.1915506851801116,1.1923371434023329,20,comparison_summary.csv
14,Derand,572,0.0,0.07824993579006437,0.6228193821104643,0.6277157280040144,20,comparison_summary.csv
14,Derand,2038,0.0,-0.0006450628823915755,0.28436921915348085,0.2843699507825724,20,comparison_summary.csv
14,Derand,7259,0.0,0.0032468107653395827,0.1619927388544367,0.16202527340420583,20,comparison_summary.csv
14,OGM,12,0.0,-0.151150651919192,3.661780083257167,3.664898347528137,20,ogm_summary.csv
14,OGM,45,0.0,-0.7956665403114083,1.3792566967548927,1.5923047066797056,20,ogm_summary.csv
14,OGM,160,0.0,-0.08158742871595974,1.181603700853435,1.1844170778889567,20,ogm_summary.csv
14,OGM,572,0.0,-0.22313183596883338,0.611510520938474,0.650947719437795,20,ogm_summary.csv
14,OGM,2038,0.0,-0.09294895863482819,0.27200305164895866,0.2874459410352581,20,ogm_summary.csv
14,OGM,7259,0.0,-0.04168537425966899,0.17600171493986125,0.18087087684019462,20,ogm_summary.csv
14,AP,12,0.0,0.35654417626984114,4.276220305147505,4.291058592910118,20,comparison_summary.csv
14,AP,45,0.0,0.23954213538312205,2.058977077362832,2.0728644528114946,20,comparison_summary.csv
14,AP,160,0.0,-0.05113481525458878,0.878680199608445,0.8801668378864643,20,comparison_summary.csv
14,AP,572,0.0,0.24868237553151026,0.7477988997745852,0.7880647932778595,20,comparison_summary.csv
14,AP,2038,0.0,-0.06293214374871343,0.25973708405050017,0.26725232935910087,20,comparison_summary.csv
14,AP,7259,0.0,-0.02905067946882677,0.15971001625310008,0.16233062332525555,20,comparison_summary.csv
