case_name,state_label,method,shots,stored_exact,noisy_exact,stored_deviation,noisy_deviation,num_groups,variance_source,variance_single_shot,variance_T_shots,std_T_shots
rand_H_3_GHZ,GHZ,SG,12,0.064922998061,0.06492299806139307,0.056407183009,0.056407183009105154,20,empirical_schedule,0.03323953064310457,0.002769960886925381,0.052630417886668744
rand_H_3_GHZ,GHZ,SG,45,0.064922998061,0.06492299806139307,0.043498443496,0.04349844349612521,20,empirical_schedule,0.07359476573968,0.0016354392386595557,0.04044056427226944
rand_H_3_GHZ,GHZ,SG,160,0.064922998061,0.06492299806139307,0.019007831269,0.019007831269405855,20,empirical_schedule,0.08084818885739288,0.0005053011803587055,0.022478905230431164
rand_H_3_GHZ,GHZ,SG,572,0.064922998061,0.06492299806139307,0.015657185053,0.01565718505256595,20,empirical_schedule,0.2528025359695101,0.00044196247547117145,0.021022903592776414
rand_H_3_GHZ,GHZ,SG,2038,0.064922998061,0.06492299806139307,0.02249399804,0.022493998040398894,20,empirical_schedule,0.8937033779204447,0.0004385198125222987,0.020940864655555624
rand_H_3_GHZ,GHZ,SG,7259,0.064922998061,0.06492299806139307,0.002245549359,0.0022455493586687227,20,empirical_schedule,0.06623025048544538,9.123880766695878e-06,0.003020576230902951
rand_H_3_GHZ,GHZ,SG,25848,0.064922998061,0.06492299806139307,0.00247285721,0.0024728572099718495,20,empirical_schedule,0.07329711376657365,2.8356976851815867e-06,0.001683952993756532
rand_H_3_GHZ,GHZ,Derand,12,0.064922998061,0.06492299806139307,0.052464775785,0.05246477578472563,20,empirical_schedule,0.024759668487234127,0.0020633057072695104,0.045423624990411214
rand_H_3_GHZ,GHZ,Derand,45,0.064922998061,0.06492299806139307,0.044032570239,0.044032570239337834,20,empirical_schedule,0.0779295282504031,0.0017317672944534021,0.04161450822073237
rand_H_3_GHZ,GHZ,Derand,160,0.064922998061,0.06492299806139307,0.020754069555,0.020754069554553316,20,empirical_schedule,0.08053310207987215,0.000503331887999201,0.022435059349134805
rand_H_3_GHZ,GHZ,Derand,572,0.064922998061,0.06492299806139307,0.014111018236,0.01411101823582128,20,empirical_schedule,0.10577083590046318,0.00018491404877703354,0.013598310511862624
rand_H_3_GHZ,GHZ,Derand,2038,0.064922998061,0.06492299806139307,0.009560269334,0.009560269333573488,20,empirical_schedule,0.12884253184641145,6.322008432110474e-05,0.007951105855232008
rand_H_3_GHZ,GHZ,Derand,7259,0.064922998061,0.06492299806139307,0.005436259023,0.00543625902286395,20,empirical_schedule,0.14940836781650982,2.0582500043602398e-05,0.004536794027019785
rand_H_3_GHZ,GHZ,Derand,25848,0.064922998061,0.06492299806139307,0.003276214099,0.0032762140991982303,20,empirical_schedule,0.1762057633890183,6.816997964601451e-06,0.0026109381387925397
rand_H_3_GHZ,GHZ,AP,12,0.064922998061,0.06492299806139307,0.062754033291,0.06275403329063073,20,empirical_schedule,0.026703367964504277,0.0022252806637086896,0.0471728805958327
rand_H_3_GHZ,GHZ,AP,45,0.064922998061,0.06492299806139307,0.032735609446,0.032735609446038975,20,empirical_schedule,0.058575415937881584,0.0013016759097307018,0.03607874595562742
rand_H_3_GHZ,GHZ,AP,160,0.064922998061,0.06492299806139307,0.019044798389,0.01904479838902532,20,empirical_schedule,0.08924981676335586,0.0005578113547709742,0.023618030289822522
rand_H_3_GHZ,GHZ,AP,572,0.064922998061,0.06492299806139307,0.007794407482,0.00779440748230398,20,empirical_schedule,0.07803427482002982,0.00013642355737767452,0.01168004954517208
rand_H_3_GHZ,GHZ,AP,2038,0.064922998061,0.06492299806139307,0.005278103655,0.005278103655139534,20,empirical_schedule,0.07792625497263252,3.8236631488043434e-05,0.006183577563841456
rand_H_3_GHZ,GHZ,AP,7259,0.064922998061,0.06492299806139307,0.003129918991,0.003129918990718118,20,empirical_schedule,0.07469986747035845,1.0290655389221443e-05,0.003207905140309084
rand_H_3_GHZ,GHZ,AP,25848,0.064922998061,0.06492299806139307,0.002189573063,0.0021895730631046845,20,empirical_schedule,0.07459503254562036,2.8859111941202553e-06,0.001698796984374606
rand_H_3_GHZ,GHZ,OGM,12,0.064922998061,0.06492299806139307,0.056340282519,0.056340282519440746,20,cutset_probability,0.060712112059431514,0.005059342671619293,0.07112905645106853
rand_H_3_GHZ,GHZ,OGM,45,0.064922998061,0.06492299806139307,0.038787075993,0.03878707599318745,20,cutset_probability,0.060712112059431514,0.0013491580457651448,0.03673088680885808
rand_H_3_GHZ,GHZ,OGM,160,0.064922998061,0.06492299806139307,0.012937930173,0.012937930173342905,20,cutset_probability,0.060712112059431514,0.00037945070037144696,0.019479494356154294
rand_H_3_GHZ,GHZ,OGM,572,0.064922998061,0.06492299806139307,0.007338818778,0.007338818778311352,20,cutset_probability,0.060712112059431514,0.00010614005604795719,0.010302429618684963
rand_H_3_GHZ,GHZ,OGM,2038,0.064922998061,0.06492299806139307,0.00400063789,0.004000637889664616,20,cutset_probability,0.060712112059431514,2.9790045171458053e-05,0.00545802575767631
rand_H_3_GHZ,GHZ,OGM,7259,0.064922998061,0.06492299806139307,0.001870323144,0.0018703231439188878,20,cutset_probability,0.060712112059431514,8.363701895499588e-06,0.002892006551773282
rand_H_3_GHZ,GHZ,OGM,25848,0.064922998061,0.06492299806139307,0.002530386438,0.002530386437623291,20,cutset_probability,0.060712112059431514,2.3488127537694022e-06,0.0015325836857311911
rand_H_3_W,W,SG,12,0.021099485681,0.021099485681452805,0.04585413424,0.0458541342401121,20,empirical_schedule,0.042797571480219954,0.0035664642900183293,0.05971988186540835
rand_H_3_W,W,SG,45,0.021099485681,0.021099485681452805,0.055136454575,0.055136454574962614,20,empirical_schedule,0.08449888680586998,0.001877753040130444,0.043333047898000944
rand_H_3_W,W,SG,160,0.021099485681,0.021099485681452805,0.026723479629,0.026723479629295336,20,empirical_schedule,0.09113127142342177,0.000569570446396386,0.02386567506684833
rand_H_3_W,W,SG,572,0.021099485681,0.021099485681452805,0.016822222687,0.016822222686648562,20,empirical_schedule,0.27091677711681894,0.00047363072922520795,0.02176305882051528
rand_H_3_W,W,SG,2038,0.021099485681,0.021099485681452805,0.012589189807,0.012589189807500378,20,empirical_schedule,0.9042888205154328,0.00044371384716164513,0.02106451630495334
rand_H_3_W,W,SG,7259,0.021099485681,0.021099485681452805,0.004827455999,0.004827455998747179,20,empirical_schedule,0.07692115138118644,1.0596659509737766e-05,0.003255251067081887
rand_H_3_W,W,SG,25848,0.021099485681,0.021099485681452805,0.003579379105,0.003579379104974351,20,empirical_schedule,0.08309703531197594,3.214834235220363e-06,0.0017929958826557197
rand_H_3_W,W,Derand,12,0.021099485681,0.021099485681452805,0.047982170381,0.04798217038124361,20,empirical_schedule,0.027873183584412684,0.002322765298701057,0.04819507546109931
rand_H_3_W,W,Derand,45,0.021099485681,0.021099485681452805,0.047563275312,0.0475632753117089,20,empirical_schedule,0.08757464196591862,0.0019461031547981914,0.04411465918261402
rand_H_3_W,W,Derand,160,0.021099485681,0.021099485681452805,0.022186974112,0.02218697411221288,20,empirical_schedule,0.09080801423358636,0.0005675500889599147,0.023823309781806447
rand_H_3_W,W,Derand,572,0.021099485681,0.021099485681452805,0.01271208821,0.012712088210037697,20,empirical_schedule,0.1162546906584542,0.00020324246618610875,0.014256313204545864
rand_H_3_W,W,Derand,2038,0.021099485681,0.021099485681452805,0.006213248493,0.006213248492663265,20,empirical_schedule,0.13934045966194403,6.837117745924634e-05,0.008268686561918183
rand_H_3_W,W,Derand,7259,0.021099485681,0.021099485681452805,0.002129338255,0.0021293382545501537,20,empirical_schedule,0.15990824729844022,2.202896367246731e-05,0.004693502282141483
rand_H_3_W,W,Derand,25848,0.021099485681,0.021099485681452805,0.002218291719,0.002218291718644507,20,empirical_schedule,0.18753239820512657,7.25519955915841e-06,0.0026935477644100558
rand_H_3_W,W,AP,12,0.021099485681,0.021099485681452805,0.033679826001,0.03367982600085111,20,empirical_schedule,0.03126364322240323,0.002605303601866936,0.05104217473684811
rand_H_3_W,W,AP,45,0.021099485681,0.021099485681452805,0.039194805939,0.039194805939050156,20,empirical_schedule,0.06495836899556272,0.001443519311012505,0.03799367461844807
rand_H_3_W,W,AP,160,0.021099485681,0.021099485681452805,0.021699819838,0.02169981983795968,20,empirical_schedule,0.0975233867229598,0.0006095211670184988,0.0246884824770276
rand_H_3_W,W,AP,572,0.021099485681,0.021099485681452805,0.011002136496,0.011002136495537418,20,empirical_schedule,0.08673922295091134,0.00015164199816592892,0.01231430055528648
rand_H_3_W,W,AP,2038,0.021099485681,0.021099485681452805,0.006151458703,0.0061514587027384415,20,empirical_schedule,0.08716350514800461,4.2769138934251524e-05,0.006539811842419591
rand_H_3_W,W,AP,7259,0.021099485681,0.021099485681452805,0.002854442771,0.002854442771003702,20,empirical_schedule,0.08378496918344011,1.1542219201465782e-05,0.00339738417042668
rand_H_3_W,W,AP,25848,0.021099485681,0.021099485681452805,0.001796758281,0.0017967582809041047,20,empirical_schedule,0.08374910181010473,3.240061196615008e-06,0.0018000169989794564
rand_H_3_W,W,OGM,12,0.021099485681,0.021099485681452805,0.04430924372,0.04430924371968275,20,cutset_probability,0.07044395036862793,0.00587032919738566,0.07661807356874525
rand_H_3_W,W,OGM,45,0.021099485681,0.021099485681452805,0.030463563753,0.030463563752818692,20,cutset_probability,0.07044395036862793,0.0015654211193028428,0.03956540306003267
rand_H_3_W,W,OGM,160,0.021099485681,0.021099485681452805,0.017454940696,0.01745494069619127,20,cutset_probability,0.07044395036862793,0.00044027468980392453,0.02098272360309606
rand_H_3_W,W,OGM,572,0.021099485681,0.021099485681452805,0.010463836237,0.010463836237167514,20,cutset_probability,0.07044395036862793,0.00012315375938571314,0.011097466349834684
rand_H_3_W,W,OGM,2038,0.021099485681,0.021099485681452805,0.004682425185,0.0046824251845528865,20,cutset_probability,0.07044395036862793,3.456523570590183e-05,0.005879220671645336
rand_H_3_W,W,OGM,7259,0.021099485681,0.021099485681452805,0.003221828892,0.003221828891572812,20,cutset_probability,0.07044395036862793,9.704360155479808e-06,0.0031151822026134856
rand_H_3_W,W,OGM,25848,0.021099485681,0.021099485681452805,0.001848068734,0.0018480687338032085,20,cutset_probability,0.07044395036862793,2.725315319120548e-06,0.0016508529065669504
H_4_GHZ,GHZ,SG,12,0.187871272588,0.18787127258781008,1.210750561559,1.2107505615593095,20,empirical_schedule,16.5709220453772,1.3809101704481,1.1751213428612808
H_4_GHZ,GHZ,SG,45,0.187871272588,0.18787127258781008,0.636162060781,0.6361620607806185,20,empirical_schedule,16.219492056229264,0.36043315680509475,0.6003608554903416
H_4_GHZ,GHZ,SG,160,0.187871272588,0.18787127258781008,0.298856064329,0.2988560643289722,20,empirical_schedule,16.01097695286571,0.1000686059554107,0.316336222958122
H_4_GHZ,GHZ,SG,572,0.187871272588,0.18787127258781008,0.1777678277,0.1777678277003034,20,empirical_schedule,16.164674775041888,0.028259920935387917,0.16810687355188042
H_4_GHZ,GHZ,SG,2038,0.187871272588,0.18787127258781008,0.092448641495,0.09244864149470705,20,empirical_schedule,16.19858660171435,0.00794827605579703,0.08915310457744605
H_4_GHZ,GHZ,SG,7259,0.187871272588,0.18787127258781008,0.052424303182,0.052424303182246834,20,empirical_schedule,16.205386203791775,0.0022324543606270526,0.0472488556541537
