case_name,state_label,method,shots,stored_exact,noisy_exact,stored_deviation,noisy_deviation,num_groups,variance_source,variance_single_shot,variance_T_shots,std_T_shots
rand_H_3_GHZ,GHZ,Compact,12,0.064241602829,0.06424160282861555,0.025139386145,0.02513938614543933,20,cutset_probability,0.016324647699721022,0.0013603873083100852,0.03688342864092335
rand_H_3_GHZ,GHZ,Compact,45,0.064241602829,0.06424160282861555,0.014622070594,0.014622070593980704,20,cutset_probability,0.016324647699721022,0.00036276994888268936,0.01904652065031011
rand_H_3_GHZ,GHZ,Compact,160,0.064241602829,0.06424160282861555,0.008835439838,0.00883543983755949,20,cutset_probability,0.016324647699721022,0.00010202904812325639,0.010100942932382917
rand_H_3_GHZ,GHZ,Compact,572,0.064241602829,0.06424160282861555,0.004879612692,0.00487961269148659,20,cutset_probability,0.016324647699721022,2.8539593880631157e-05,0.005342246145642407
rand_H_3_GHZ,GHZ,Compact,2038,0.064241602829,0.06424160282861555,0.003047948492,0.003047948491788427,20,cutset_probability,0.016324647699721022,8.010131354132003e-06,0.0028302175453720872
rand_H_3_GHZ,GHZ,Compact,7259,0.064241602829,0.06424160282861555,0.002534105376,0.002534105376032815,20,cutset_probability,0.016324647699721022,2.24888382693498e-06,0.0014996278961579036
rand_H_3_GHZ,GHZ,Compact,25848,0.064241602829,0.06424160282861555,0.001749957814,0.0017499578144754596,20,cutset_probability,0.016324647699721022,6.315632814810051e-07,0.0007947095579398835
rand_H_3_W,W,Compact,12,0.020054477008,0.020054477007977797,0.027346213213,0.02734621321259271,20,cutset_probability,0.022837238961263842,0.001903103246771987,0.043624571594137025
rand_H_3_W,W,Compact,45,0.020054477008,0.020054477007977797,0.022729686506,0.022729686505930397,20,cutset_probability,0.022837238961263842,0.0005074941991391965,0.022527631902603446
rand_H_3_W,W,Compact,160,0.020054477008,0.020054477007977797,0.007019852292,0.00701985229160049,20,cutset_probability,0.022837238961263842,0.000142732743507899,0.011947080961803976
rand_H_3_W,W,Compact,572,0.020054477008,0.020054477007977797,0.004762206374,0.004762206374312958,20,cutset_probability,0.022837238961263842,3.9925242939272453e-05,0.006318642491807276
rand_H_3_W,W,Compact,2038,0.020054477008,0.020054477007977797,0.002174025609,0.0021740256087100654,20,cutset_probability,0.022837238961263842,1.1205710972160865e-05,0.003347493237059765
rand_H_3_W,W,Compact,7259,0.020054477008,0.020054477007977797,0.001161596975,0.001161596975108754,20,cutset_probability,0.022837238961263842,3.1460585426730736e-06,0.0017737132075600816
