case_name,state,method,shots,variance_T_shots,variance_single_shot,std_T_shots,variance_source,source_file
H_4_W,W,Derand,25848,0.0030603537690402807,79.10402422215317,0.05532046428800359,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,OGM,12,1.0352897860671195,12.423477432805434,1.0174919095831276,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,45,0.2760772762845652,12.423477432805434,0.5254305627621648,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,160,0.07764673395503396,12.423477432805434,0.2786516354788429,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,572,0.02171936614126824,12.423477432805434,0.14737491693388072,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,2038,0.0060959163065777405,12.423477432805434,0.07807634921394405,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,7259,0.0017114585249766406,12.423477432805434,0.04136977791790331,cutset_probability,variance_noisy_summary.csv
H_4_W,W,OGM,25848,0.00048063592667925697,12.423477432805434,0.021923410470984138,cutset_probability,variance_noisy_summary.csv
H_4_W,W,AP,12,0.731115020694551,8.773380248334613,0.8550526420604471,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,45,0.4083550858211742,18.375978861952838,0.6390266706649842,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,160,0.07985984067888854,12.777574508622166,0.2825948348411353,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,572,0.022213954237755112,12.706381823995924,0.14904346425709217,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,2038,0.00630202070381424,12.84351819437342,0.07938526754892396,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,7259,0.001764576927933776,12.80906391987128,0.04200686762820784,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,AP,25848,0.0004949996267180303,12.794750351407648,0.022248587072396988,empirical_schedule,variance_noisy_summary.csv
H_4_W,W,Compact,12,0.0508022636237181,0.6096271634846172,0.2253935749388569,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,45,0.013232396953414842,0.5954578629036679,0.11503215617128475,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,160,0.0037200056625239153,0.5952009060038265,0.060991849148258455,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,572,0.0010408663270510318,0.5953755390731902,0.032262460027887394,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,2038,0.00029214435758814647,0.5953902007646426,0.0170922309131414,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,7259,8.201336949688185e-05,0.5953350491778654,0.009056123315021822,empirical_schedule,variance_compact_summary.csv
H_4_W,W,Compact,25848,2.30327993233456e-05,0.5953517969098371,0.004799249870901243,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,SG,12,0.6121965059183857,7.346358071020629,0.7824298728438132,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,SG,45,0.7159724558235284,32.21876051205878,0.8461515560604544,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,SG,160,0.1924909812304991,30.798556996879856,0.4387379414075093,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,SG,572,0.05310082200935233,30.373670189349532,0.23043615603752882,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,SG,2038,0.014989901823939854,30.54941991718942,0.12243325456729415,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,SG,7259,0.004207423162009977,30.54168473303042,0.06486465263924548,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,12,0.37887865635342116,4.546543876241054,0.6155311985215869,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,45,0.4082983246763153,18.37342461043419,0.6389822569338802,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,160,0.19333015337374315,30.932824539798904,0.4396932491791785,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,572,0.05202907180331365,29.76062907149541,0.22809882025848718,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,2038,0.014807614654277039,30.177918665416605,0.1216865426178139,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Derand,7259,0.004204446899404165,30.52008004277484,0.06484170648127766,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,12,0.6811004500183716,8.173205400220459,0.825288101221853,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,45,0.5972957597324212,26.878309187958955,0.7728491183487377,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,160,0.17430917723916486,27.889468358266377,0.41750350566092836,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,572,0.04935818363599699,28.23288103979028,0.22216701743507516,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,2038,0.013826313834677653,28.178027595073058,0.11758534702367321,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,OGM,7259,0.0038802158820680195,28.166487087931753,0.06229137887435162,empirical_schedule,variance_noisy_summary.csv
H_swap_3_GHZ,GHZ,Compact,12,0.2726778472942829,3.272134167531395,0.5221856444735751,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,Compact,45,0.19556933287826936,8.800619979522121,0.4422322160113048,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,Compact,160,0.0673650261454451,10.778404183271215,0.25954773384763946,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,Compact,572,0.0186091909554819,10.644457226535646,0.13641550848595588,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,Compact,2038,0.005211127390350346,10.620277621534004,0.07218813884808463,empirical_schedule,variance_compact_summary.csv
H_swap_3_GHZ,GHZ,Compact,7259,0.001462768710014226,10.618238065993266,0.038246159415217446,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,SG,12,0.6354994870801359,7.625993844961631,0.7971822169868918,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,SG,45,0.8304999324966996,37.372496962351484,0.9113176902138461,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,SG,160,0.22499137454552956,35.99861992728473,0.4743325569107918,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,SG,572,0.062320258507156695,35.64718786609363,0.24964025818596786,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,SG,2038,0.01759411121871668,35.85679866374459,0.13264279557788533,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,SG,7259,0.004937659599100571,35.84247102987104,0.07026848225983376,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,12,0.29542522758366274,3.545102731003953,0.5435303373167525,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,45,0.4430195580472284,19.93588011212528,0.665597143959639,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,160,0.22074178577332795,35.31868572373247,0.4698316568445851,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,572,0.06110451100524306,34.95178029499903,0.2471932665046584,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,2038,0.017511514065404667,35.68846566529471,0.13233107747390507,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Derand,7259,0.00497546123514854,36.11687310594325,0.07053694943182998,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,12,0.608384392008327,7.300612704099923,0.7799899948129636,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,45,0.6366529785100675,28.649384032953037,0.7979053693954362,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,160,0.2083218533634322,33.33149653814915,0.4564228887374429,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,572,0.057378456670948805,32.82047721578272,0.23953800673577627,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,2038,0.01610359148758503,32.819119451698285,0.1268999270590217,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,OGM,7259,0.004521156608007353,32.81907581752537,0.0672395464589653,empirical_schedule,variance_noisy_summary.csv
H_swap_3_W,W,Compact,12,0.26633350459709965,3.196002055165196,0.516075095889251,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,Compact,45,0.25514358562808404,11.481461353263782,0.5051173978671533,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,Compact,160,0.08163264547027416,13.061223275243865,0.2857142724301223,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,Compact,572,0.022429406926016332,12.829620761681342,0.1497645048935706,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,Compact,2038,0.006283449745846879,12.805670582035939,0.07926821396907388,empirical_schedule,variance_compact_summary.csv
H_swap_3_W,W,Compact,7259,0.001764472747529601,12.808307674317373,0.042005627569762616,empirical_schedule,variance_compact_summary.csv
rand_H_3_GHZ,GHZ,SG,12,0.002769960886925381,0.03323953064310457,0.052630417886668744,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,45,0.0016354392386595557,0.07359476573968,0.04044056427226944,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,160,0.0005053011803587055,0.08084818885739288,0.022478905230431164,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,572,0.00044196247547117145,0.2528025359695101,0.021022903592776414,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,2038,0.0004385198125222987,0.8937033779204447,0.020940864655555624,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,7259,9.123880766695878e-06,0.06623025048544538,0.003020576230902951,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,SG,25848,2.8356976851815867e-06,0.07329711376657365,0.001683952993756532,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,12,0.0020633057072695104,0.024759668487234127,0.045423624990411214,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,45,0.0017317672944534021,0.0779295282504031,0.04161450822073237,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,160,0.000503331887999201,0.08053310207987215,0.022435059349134805,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,572,0.00018491404877703354,0.10577083590046318,0.013598310511862624,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,2038,6.322008432110474e-05,0.12884253184641145,0.007951105855232008,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,7259,2.0582500043602398e-05,0.14940836781650982,0.004536794027019785,empirical_schedule,variance_noisy_summary.csv
rand_H_3_GHZ,GHZ,Derand,25848,6.816997964601451e-06,0.1762057633890183,0.0026109381387925397,empirical_schedule,variance_noisy_summary.csv
