state,observable,Derand,OGM,AP,SG,Compact
W,SpinH,79.1040242222,12.4234774328,12.7947503514,11.4406631073,0.59535179691
W,RandH,0.187532398205,0.0704439503686,0.0837491018101,0.083097035312,0.0228372389613
W,nonlinear SpinH,36.1168731059,32.8190758175,,35.8424710299,12.8083076743
GHZ,SpinH,114.415322927,17.2501372224,18.125052381,16.2041459368,0.718671803359
GHZ,RandH,0.176205763389,0.0607121120594,0.0745950325456,0.0732971137666,0.0163246476997
GHZ,nonlinear SpinH,30.5200800428,28.1664870879,,30.541684733,10.618238066
